eur	mp	nrcamere	rap	title
90	92.6	4	971.922246220302	[217]APARTAMENT SEMI-CENTRAL
52.5	54	2	972.222222222222	[164]Centrala proprie. Decomandat.Mobilat si utilat
70	72	3	972.222222222222	[213]De vanzare apartament cu 3 camere, zona Bucovina
106	109	3	972.477064220183	[193]Apartament 3 camere, 109 mp - Take Ionescu
53.5	55	2	972.727272727273	[208]Centrala proprie.Izolat interior.Zona linistita
73	75	3	973.333333333333	[223]Centrala proprie.Etaj intermediar
55	56.5	2	973.451327433628	[213]2 camere proaspat renovat cu centrala proprie situat la etaj intermediar
37	38	0	973.684210526316	[188]Mobilat si utilat. Pozitie buna.
69	70.83	3	974.16349004659	[164]Decomandat.Mobilat.Garaj
57.5	59	3	974.576271186441	[179]Apartament de vânzare 3 camere
58.5	60	2	975	[169]Centrala Proprie.Etaj Intermediar.Model Spatios.
78	80	4	975	[232]Gheorghe Lazar,panorama deosebita
83	85	3	976.470588235294	[193]Neptun,decomandat
42	43	2	976.744186046512	[237]Amenajat. Aproape de Hotel Ambassador.
73.4	75	3	978.666666666667	[183]Vanzare apartament 3 camere
46	47	2	978.723404255319	[164]Bloc izolat. Etaj 1. Zona linistita.
49	50	2	980	[223]2 camere de vanzare in zona Aradului.
100	102	3	980.392156862745	[228]3 camere Piata Unirii
51	52	2	980.769230769231	[228]Bucatarie Mare. Amenajat. Langa Billa-Profi
52	53	3	981.132075471698	[218]Dambovita, 3 camere, etaj intermediar
64.762	66	2	981.242424242424	[208]De vanzare apartamente noi in Timisoara zona Lipovei - Comision 0%
53	54	2	981.481481481482	[203]Dambovita, etaj intermediar, centrala proprie
55	56	3	982.142857142857	[188]Apartament nr.3
56	57	3	982.456140350877	[174]Girocului-LIDL , decomandat , centrala,PVC
57	58	2	982.758620689655	[174]Lunei, 2 camere, decomandat, garaj
59	60	4	983.333333333333	[218]Calea Sagului, etaj intermediar, vedere pe doua parti
31.5	32	0	984.375	[179]Blascovici,parter,mobilat/utilat
63	64	3	984.375	[218]Aproape de Blitz. Centrala termica proprie. Mobilat si utilat.
64	65	3	984.615384615385	[237]Lipovei, model mare, 2 bai, mobilat
65	66	3	984.848484848485	[228]Ap 3cam Circumvalatiunii 3min de Mall, centrul orasului, confortabil si
67	68	3	985.294117647059	[213]Dacia, 3 camere, 68mp
74.9	76	2	985.526315789474	[164]De vanzare apartament cu 2 camere in Piata Maria
69	70	3	985.714285714286	[188]COMPLEXUL STUDENTESC, AMENAJAT, DECOMANDAT
70	71	3	985.915492957746	[179]Braytim , finisat modern , spatios
76	77	2	987.012987012987	[174]Braytim , finisat modern , spatios
39.5	40	0	987.5	[228]Apartament 1 camera Zona Baile Neptun
84	85	4	988.235294117647	[223]4 camere, PIAŢA VICTORIEI, OFERTĂ
88	89	3	988.76404494382	[168]Bucovina , etaj 1 , 89 mp
46.5	47	3	989.36170212766	[188]Girocului, SU- 47mp, integral BCA
48.5	49	2	989.795918367347	[208]Dambovita, vedere pe doua parti, bloc cu lift
59.4	60	2	990	[213]Apartamente noi, 60 mp, parcare subterana, direct de la proprietar
99	100	3	990	[169]De vanzare apartament cu 3 camere in zona Odobescu
51.5	52	2	990.384615384615	[169]Dambovita , amenajat , cu centrala
55.5	56	2	991.071428571429	[164]Dambovita,etaj intermediar,centrala ,complet amenajat
56.5	57	2	991.228070175439	[213]Steaua,centrala,amenajat modern
65	65.5	3	992.36641221374	[188]0% COMISION. Nou. Spatios. La cheie.
65.5	66	3	992.424242424242	[174]Medicinei, etaj intermediar , tamplarie PVC
75.5	76	3	993.421052631579	[164]Bloc nou in oras, Suprafata mare
79.5	80	3	993.75	[208]3 camere la vila
64.7	65	3	995.384615384615	[169]Etajul 2. Centrala termica proprie. Mobilat si utilat complet.
51.9	52	2	998.076923076923	[237]Dambovita, ingrijit, mobilat, utilat, centrala, aer
52.9	53	2	998.11320754717	[223]0 % COMISION. Vila 2016 la cheie. Compartimentat EXCELENT
54.999	55	3	999.981818181818	[237]Lipovei , decomandat , acoperis nou.
64	64	3	1000	[173]Lipovei, 3 camere, renovat in totalitate
67	67	3	1000	[179]Aproape de parc, etaj 3, bloc izolat , centrala termica
70	70	3	1000	[193]Complet mobilat. Centrala proprie. Decomandat.
55	55	2	1000	[203]Etajul 1 ,55.000 euro
52	52	3	1000	[218]3 camere,etaj intermediar,zona Dacia
65	65	3	1000	[203]Girocului, bloc izolata termic, centrala termica
61	61	3	1000	[179]Calea Aradului, etaj intermediar, mobilat
49	49	2	1000	[231]0 % COMISION. Vila 2016 la cheie. Compartimentat EXCELENT. Finisaje
75	75	4	1000	[208]Apartament de vânzare 4 camere
42	42	2	1000	[237]Girocului, amenajat, centralatermica
50	50	2	1000	[164]Timocului,2 camere la casa,centrala termica ,amenajate
80	80	2	1000	[218]APARTAMENT PENTRU BIROURI SAU FAMILIAL ULTRACENTRAL
60	60	3	1000	[164]Apartament cu 3 camere de vanzare la pretul de 60000 euro .
53	53	3	1000	[203]Apartament nr.2
23	23	0	1000	[228]Buziasului, decomandat, gaz
58	58	2	1000	[179]Centrala proprie. Acoperis. Renovat
62	62	3	1000	[164]3 camere,modern amenajat,mobilat si utilat,zona Lipovei
57	57	2	1000	[164]Spatiu si confort,intr-o zona linistita
167	167	4	1000	[223]Zona Prefectura-Medicina,apartament deosebit
76	76	3	1000	[228]Bucovina, Apartament 3 cam,Decomandat,etaj intermediar, Centrala, Clima,
110	110	4	1000	[213]Apartament generos in imobil nou
78	78	3	1000	[218]Bucovina,decomandat,centrala termica proprie
57.7	57.7	2	1000	[164]0 % COMISION. Vila 2016 la cheie. Compartimentat EXCELENT
56	56	2	1000	[198]Lipovei, 2 camere, bloc nou
45	45	2	1000	[198]Etaj intemediar.Pozitie Buna.
51	51	2	1000	[198]Bucatarie Spatioasa.Centrala Proprie.Acoperis din tigla.
100	100	3	1000	[218]Ap 3 cam Parcul POPORULUI
22	22	0	1000	[159]Garsoniera de vanzare in zona Buziasului
38	38	0	1000	[174]UMT, renovat , mobilat , bloc anvelopat
140	140	3	1000	[193]Apartament de vanzare 4 camere decomandat zona Centrala
69	69	2	1000	[213]Lipovei - 2 Cam Dec - Parter - Mobilat
72	72	3	1000	[164]Aradului-Selgros,terasa spatioasa,centrala proprie
40	40	0	1000	[228]Soarelui, decomandat, etaj intermediar
90	90	3	1000	[179]Aradului bloc nou 3 camere lux !!
48.4	48.4	2	1000	[237]0 % COMISION. Vila 2016 la cheie. Compartimentat EXCELENT
68	68	3	1000	[169]Decomandat. 2 bai. Mobilat.
93	92.73	3	1002.91167906826	[203]Bloc nou in oras! Suprafata Mare! Mijloace de transport!
82	81.76	4	1002.93542074364	[223]Etaj intermediar. Zona linistita.
55.3	55	2	1005.45454545455	[188]Girocului, centrala termica, izolat termic
78	77.55	3	1005.80270793037	[208]2 bai. Decomandat. Terasa de 11 mp.
58.095	57.72	2	1006.49688149688	[159]2 camere si loc de parcare inclus in constructie noua, zona Aradului
52.381	52.04	2	1006.5526518063	[193]2 camere si loc de parcare inclus in constructie noua, zona Aradului
74.5	74	3	1006.75675675676	[193]De vanzare apartament cu 3 camere, etajul I , zona Girocului
56.4	56	2	1007.14285714286	[179]2 camere,etajul 1 ,zona Aradului,centrala proprie
54.762	54.3	2	1008.50828729282	[223]2 camere si loc de parcare inclus in constructie noua, zona Aradului
57.5	57	3	1008.77192982456	[203]Apartament de vânzare 3 camere
51	50.5	2	1009.90099009901	[187]Decomandat. Finisat la cheie
50.5	50	2	1010	[164]Decomandat. Centrala proprie.
49.5	49	2	1010.20408163265	[228]2 camere, Dambovita zona linistita
95	94	3	1010.63829787234	[237]BLOC NOU 3 camere 90 mp
59.7	59	3	1011.86440677966	[213]0 % COMISION. Vila 2016 la cheie. Compartimentat EXCELENT. Finisaje
42.5	42	2	1011.90476190476	[228]Calea Sagului, 2 camere, mobilat si utilat
72.9	72	3	1012.5	[164]Etaj intermediar, zona linistita , dotat cu centrala proprie!
71	70	3	1014.28571428571	[158]Proprietar - vand urgent ap. 3 camere - Lipovei
69	68	3	1014.70588235294	[213]Girocului, etaj intermediar, decomandat
34.5	34	0	1014.70588235294	[169]Aradului,centrala proprie,etaj intermediar
68	67	3	1014.92537313433	[223]Dambovita, 3 camere, amenajat
65	64	3	1015.625	[179]Apartament cu 3 camere situat in zona de Nord a orasului.
