eur	mp	nrcamere	rap	title
150	100	3	1500	[193]Apartament lux cu 3 camere de vanzare in zona Take Ionescu
68	45	2	1511.11111111111	[218]Apartament in apropiere de Medicina
235	155	4	1516.12903225806	[164]Apartament, constructie noua, imobil exclusivist in zona centrala in
123	80	3	1537.5	[218]Medicina. Centrala proprie. Etaj 2.
165	107	4	1542.05607476636	[179]Spatios si confortabil in zona centrala
110	71	3	1549.29577464789	[188]APARTAMENT CENTRAL
155	100	3	1550	[179]Ultracentral-Medicina,apartament cu garaj, in vila .
165	105	3	1571.42857142857	[213]PROPRIETAR vand apartament lux - zona Circumvalatiunii
110	70	4	1571.42857142857	[193]Ultracentral, etaj 1
158	100	3	1580	[203]Apartament 3 camere, LUX, ultrancentral
140	88	3	1590.90909090909	[188]Apartament nou, central
140	87	3	1609.19540229885	[237]Apartament de lux, 3 camere, cladire noua, zona centrala
158	98	3	1612.24489795918	[164]Apartament deosebit in zona Central
89	55	2	1618.18181818182	[198]Ultracentral, 2 camere, lux
325	200	5	1625	[218]Apartament spatios,ultracentral,Timisoara
165	100	3	1650	[237]Apartament 3 camere Ultracentral
150	90	4	1666.66666666667	[208]Garaj sub Bloc.Centrala proprie.Mobilat
165	98	3	1683.67346938776	[237]Apartament 3 camere LUX 165.000 Euro
42	24	0	1750	[218]Badea Cartan, decomandat, amenajat, mobilat si utilat
168	90	2	1866.66666666667	[208]De vanzare apartament cu 2 camere in zona Ultracentrala
95	50	2	1900	[203]Ultracentral - 2 cam - 50 mp utili - Mobilat, Utilat FULL! LUX
